ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Toyeri-621_throat-1,,Toyeri,621_throat,waterekpʉ / wamajek,wamajek,w a m a j e k,,peck1979toyeri,,,,,THROAT,1662,1648
Toyeri-621_throat-2,,Toyeri,621_throat,waterekpʉ / wamajek,waterekpʉ,w a t e r e k + p ʉ,,peck1979toyeri,,,,,THROAT ?,1662,1648 1916
Deni-624_thunder-1,,Deni,624_thunder,bahi,bahi,b a h i,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,THUNDER,216,216
Jamamadi-624_thunder-1,,Jamamadi,624_thunder,bahi,bahi,b a h i,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,THUNDER,216,216
Jarawara-624_thunder-1,,Jarawara,624_thunder,bahi,bahi,b a h i,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,THUNDER,216,216
Paumari-624_thunder-1,,Paumari,624_thunder,bahi,bahi,b a h i,,dixon2004proto;chapman1998dicionario,,,,,THUNDER,216,216
Sorowaha-624_thunder-1,,Sorowaha,624_thunder,baai / zama kubuɾunaɾu,baai,b a: i,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,THUNDER,216,216
Sorowaha-624_thunder-2,,Sorowaha,624_thunder,baai / zaama kubuɾunaɾu,zaama kubuɾunaɾu,z aː m a + k u b u ɾ u n a ɾ u,,dixon2004proto;suzuki2000ocp;suzuki1977fonetica,,,,,THING ?,728,341 676
ProtoArawan-624_thunder-1,,ProtoArawan,624_thunder,bahi,bahi,b a h i,,dixon2004proto,,,,,THUNDER,216,216
Banawa-624_thunder-1,,Banawa,624_thunder,mai,mai,m ai,,ladefoged1997phonetic,,,,,THUNDER,216,216
Paumari_1833-624_thunder-1,,Paumari_1833,624_thunder,karawe,karawe,k a r a w e,,,,,,,THUNDER,1406,1377
Arasairi-624_thunder-1,,Arasairi,624_thunder,keren,keren,k e r e n,,aza1933arasairi,,,,,THUNDER,1663,1649
