# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
229	Jarawara	deer	bato	bato	b a t o	DEER	214	214
#
918	Deni	defecate	kija	kija	k i j a	DEFECATE	0	1212
#
231	Deni	demolish	dobe	dobe	d o b e	DEMOLISH	0	0
#
233	Kulina	design	hano	hano	h a n o	DESIGN	334	334
234	Deni	design	hano	hano	h a n o	DESIGN	334	334
235	Jarawara	design	hano	hano	h a n o	DESIGN	334	334
236	Banawa	design	hano	hano	h a n o	DESIGN	334	334
#
1025	Kulina	die	zokhe	zokhe	z o k h e	DIE	0	0
#
1026	Deni	dig	wi	wi	w i	DIG	1133	1133
1027	Kulina	dig	wi	wi	w i	DIG	1133	1133
1028	Jarawara	dig	wii	wii	w i i	DIG	1133	1133
1029	Banawa	dig	wii	wii	w i i	DIG	1133	1133
1030	Jamamadi	dig	wii	wii	w i i	DIG	1133	1133
#
237	Jarawara	dirty	bisa	bisa / tohya	b i s a	DIRTY	14	14
238	Jarawara	dirty	tohya	bisa / tohya	t o h y a	DIRTY	14	14
239	Jarawara	dirty	bisa	bisa	b i s a	DIRTY	14	14
240	Deni	dirty	kiri	kiri	k i r i	DIRTY	0	0
241	Kulina	dirty	oba	oba	o b a	DIRTY	0	0
#
1676	Deni	disappear	phira	phira	p h i r a	unknown3	0	403
#
44590	Deni	disappear from view	phiri	phiri	p h i r i	DISAPPEAR.FROM.VIEW	159	159
#
243	Kulina	dog	ethe	ethe	e t h e	DOG	0	0
244	Jarawara	dog	jomee	jomee	j o m e e	DOG	0	0
#
44533	Kulina	door	nokhobihi	nokhobihi	n o k h o b i h i	DOOR	146	146
44534	Deni	door	nokho	nokho	n o k h o	DOOR	146	146
44535	Jarawara	door	nokho	nokho	n o k h o	DOOR	146	146
44536	Banawa	door	nokho	nokho	n o k h o	DOOR	146	146
44537	Jamamadi	door	nokobi	nokobi	n o k o b i	DOOR	146	146
#
245	Jamamadi	dove	okoko	okoko	o k o k o	PIGEON	307	307
246	Jarawara	dove	okoko	okoko	o k o k o	PIGEON	307	307
#
